Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.158,60.577,68.246,65.536,68.802,68.17,63.749,60.354,59.031,56.8,54.509,52.105,49.933,50.251,2018.0
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.834,62.926,74.028,98.376,116.195,98.148,69.855,72.863,82.019,62.813,48.376,45.159,31.325,23.457,1.92,-10.838,-20.88,-35.486,-39.644,-33.703,-31.084,-29.028,-29.511,-21.788,-7.617,13.327,21.598,26.54,37.342,40.697,44.246,46.843,48.201,51.032,2018.0
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.5,37.5,43.0,45.7,53.7,166.7,139.2,118.1,80.5,70.6,62.1,53.8,55.4,43.5,38.9,40.4,43.5,44.7,52.6,53.1,56.6,86.0,89.4,0.93,95.0,93.0,92.0,92.0,0.0
Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.942,9.586,12.62,18.247,22.092,23.286,23.142,21.377,18.215,14.662,11.052,7.142,4.701,2.765,0.755,-1.231,-3.813,-6.323,-7.274,-5.298,-0.653,3.877,8.035,11.051,13.014,15.439,17.774,18.843,18.76,20.162,21.34,21.547,20.687,19.435,18.17,17.047,2018.0
Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.377,43.732,42.277,44.239,42.691,46.197,50.032,49.639,48.757,49.169,56.66,60.482,60.266,60.471,60.408,59.144,58.287,57.135,55.91,50.467,48.179,45.956,44.015,41.837,39.562,37.317,2018.0
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.418,72.02,66.932,59.933,51.847,50.24,55.58,57.776,66.664,67.94,68.059,67.888,73.319,75.168,81.051,97.337,104.307,108.729,121.531,132.783,137.64,145.842,148.226,157.097,124.566,114.292,108.218,101.693,95.577,90.218,85.661,2019.0
Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.002,105.557,100.079,97.948,95.249,92.379,87.855,85.949,82.663,78.425,81.652,88.283,88.391,90.799,91.601,92.489,93.873,92.974,92.215,89.587,88.448,87.733,86.853,86.126,85.415,84.483,83.523,2018.0
Bolivia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.93,51.729,62.116,66.444,87.015,71.088,41.886,27.258,20.607,23.144,17.723,15.043,12.237,11.756,15.663,22.769,30.477,35.402,41.103,47.133,51.638,55.136,57.591,59.023,59.466,2017.0
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.737,53.361,32.238,30.842,26.469,22.171,19.734,19.116,13.182,4.384,21.598,26.734,33.96,33.61,36.45,37.174,39.319,38.372,36.511,30.399,24.114,24.353,24.131,24.248,24.093,24.605,24.328,2018.0
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-131.102,-121.154,-130.856,-71.839,-52.093,-63.948,-28.52,-34.982,-35.098,-12.395,4.054,-2.335,-0.463,-4.513,-9.348,-7.222,-3.178,-4.62,-3.328,0.742,3.291,5.039,6.1,6.258,5.361,2019.0
