Suma de ECI,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Valor Total
Albania,-0.162675,-0.144394,0.001056,0.210635,0.056063,0.061086,-0.024968,0.089795,0.09419,-0.064341,-0.170026,-0.138748,-0.171997,-0.267863,0.027023,-0.074055,0.420676,0.242285,0.347362,0.203431,-0.040355,-0.226584,-0.336359,-0.229183,-0.281952,-0.264478,-0.197794,-0.210994,-0.242111,-0.195093,-0.179171,-0.286801,-0.377064,-0.404282,-0.43934,-0.42106,-0.276055,-0.047386,-0.01742,-0.02384,-0.128714,-0.245883,-0.395101,-0.490889,0.151114,0.563279,0.552788,0.272749,-0.472586,-0.684933,-0.542079,-0.896511,-0.90769,-0.781571,-8.168814
Algeria,-0.131416,-0.248026,-0.298926,-0.326832,-0.469397,-0.521161,-0.492765,-0.387895,-0.581162,-0.634155,-0.772504,-0.658009,-0.81583,-0.822023,-0.939733,-0.844654,-0.754751,-1.0883,-1.11657,-1.18598,-1.18261,-1.10051,-1.22432,-0.787639,-0.292231,-0.257457,-0.649656,-0.645687,-0.798032,-0.770482,-0.635657,-0.787497,-0.72511,-0.814718,-0.802829,-0.741165,-0.843424,-0.906108,-0.808618,-0.875592,-1.11,-1.11468,-0.788727,-0.682755,-1.03209,-1.07781,-1.15498,-1.28473,-1.56777,-2.08154,-1.77252,-1.01136,-0.937221,-0.811671,-45.167285
Angola,-1.31753,-1.21766,-1.17056,-1.03878,-1.23318,-1.22352,-1.20874,-1.32727,-1.28119,-1.15258,-1.14003,-1.24488,-1.37667,-1.54506,-1.43599,-1.4835,-1.43557,-1.70915,-1.76865,-2.01443,-1.94971,-1.78521,-1.822,-1.26181,-1.6952,-1.27093,-1.67635,-2.00679,-2.04018,-1.46963,-1.26224,-1.70503,-1.75814,-1.79175,-1.60166,-1.61325,-1.67367,-1.71443,-2.04759,-2.06924,-0.705732,-0.787959,-0.798225,-1.91304,-1.95195,-1.96257,-2.01309,-2.09087,-2.79136,,,-1.25745,-1.16876,-1.3177,-80.298456
Argentina,-0.235528,-0.138631,-0.186694,-0.281353,-0.2747,-0.248754,-0.139189,-0.117285,-0.021875,0.117281,0.269263,0.390731,0.184318,0.129156,0.100627,-0.030212,-0.100055,-0.088912,-0.04017,0.100525,0.089542,0.02977,0.02127,0.064141,0.042609,0.094958,0.064197,0.092349,-0.063648,-0.010048,-0.02758,0.010787,-0.01855,0.012858,0.063963,0.061027,0.067484,0.065941,-0.048438,-0.022571,0.002533,0.03593,0.053536,0.073768,0.077066,0.071968,0.03248,-0.063178,-0.148047,-0.496513,-0.502072,0.462111,0.360496,0.232335,0.171017
Australia,0.15691,0.191705,0.245572,0.183548,0.268314,0.135157,0.068696,0.057807,0.043605,0.01988,0.002005,-0.044957,-0.088588,-0.050256,-0.038578,-0.044982,-0.094969,-0.147273,-0.007137,-0.10869,-0.097552,0.024368,-0.079455,-0.085689,-0.108906,-0.067428,-0.168113,-0.165157,-0.190559,-0.038421,-0.009273,0.04147,0.027905,-0.00787,0.052213,-0.033744,-0.031123,-0.06647,-0.073102,-0.038353,-0.218672,-0.213502,-0.155239,-0.171363,-0.210701,-0.331165,-0.397884,-0.516626,-0.528256,-0.816851,-0.846322,0.0971997,0.146237,0.0863035,-4.4443308
Austria,2.03892,2.06916,1.99344,2.0393,1.98078,1.92701,1.99157,1.96936,1.94613,1.88468,1.90756,1.8608,1.70802,1.7341,1.81273,1.93101,1.88666,1.84022,1.79374,1.79615,1.77997,1.88765,1.81925,1.89238,1.86741,1.92154,1.94269,1.95901,2.00948,2.0734,2.12007,2.07826,2.03268,1.91867,1.84365,1.80792,1.79399,1.73102,1.72614,1.76393,1.81965,1.74605,1.7452,1.70293,1.68159,1.69369,1.68617,1.7891,1.71686,1.72767,1.64981,1.68354,1.63921,1.62894,99.99086
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.392366,-0.133873,-0.184645,-0.220812,0.295336,0.440148,0.344791,0.14542,-0.094196,-0.582499,-0.473538,-0.36504,-0.595619,-0.769416,-0.981761,-1.08907,-1.00637,-1.08488,-1.08757,-1.44623,-1.50891,-1.44358,-1.7818,-0.674689,-0.650166,-0.654587,-15.995922
Bangladesh,,,,,,,,,-0.583664,-0.380092,-0.233379,-0.539728,-0.915828,-0.750175,-0.546402,-0.581606,-0.473513,-0.58621,-0.629682,-0.727512,-0.681064,-0.752768,-0.649575,-0.561619,-0.486923,-0.743294,-0.761861,-0.737013,-0.659387,-0.840842,-0.921693,-0.918699,-1.06387,-1.06811,-1.08508,-1.07312,-0.997463,-0.995853,-1.03815,-1.1201,-1.23386,-1.17652,-1.19826,-1.01275,-0.936713,-0.927904,-1.00757,-1.10503,-0.943499,-1.17559,,-1.76105,-1.77822,-1.71442,-40.075661
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33228,0.472178,0.378847,0.477808,0.607991,0.471432,0.645948,0.607993,0.558912,0.842052,0.722964,0.723122,0.832963,0.858138,0.856248,0.682706,0.690402,0.668625,0.675162,0.918398,0.82272,0.689295,0.731427,0.836874,0.743585,0.743075,17.591145
Belgium,1.64017,1.66901,1.58396,1.58365,1.53657,1.52145,1.46409,1.48649,1.47614,1.44249,1.47628,1.49865,1.36239,1.34301,1.39968,1.42368,1.4946,1.49442,1.43398,1.39186,1.33047,1.39638,1.45513,1.47377,1.50163,1.48931,1.45983,1.43235,1.50294,1.53536,1.50225,1.50236,1.43024,1.46882,1.48359,1.45589,1.44647,1.40065,1.37079,1.37738,1.33257,1.27927,1.23122,1.26407,1.22398,1.18347,1.1659,1.13515,1.04707,0.951062,0.90581,,,,71.457752
