0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Movies
45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,45043225,My Neighbor Totoro 
49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,49000000,Akira
0,0,0,0,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,58990641,Porco Rosso
0,0,0,0,0,0,0,0,0,160799185,160799185,160799185,160799185,160799185,160799185,160799185,160799185,160799185,160799185,160799185,160799185,160799185,160799185,160799185,160799185,160799185,160799185,160799185,160799185,160799185,160799185,160799185,Princess Mononoke
0,0,0,0,0,0,0,0,0,0,172744662,172744662,172744662,172744662,172744662,172744662,172744662,172744662,172744662,172744662,172744662,172744662,172744662,172744662,172744662,172744662,172744662,172744662,172744662,172744662,172744662,172744662,Pokémon: The First Movie
0,0,0,0,0,0,0,0,0,0,0,133949270,133949270,133949270,133949270,133949270,133949270,133949270,133949270,133949270,133949270,133949270,133949270,133949270,133949270,133949270,133949270,133949270,133949270,133949270,133949270,133949270,Pokémon: The Movie 2000
0,0,0,0,0,0,0,0,0,0,0,0,70157342,70157342,70157342,70157342,70157342,70157342,70157342,70157342,70157342,70157342,70157342,70157342,70157342,70157342,70157342,70157342,70157342,70157342,70157342,70157342,Pokémon 3: The Movie
0,0,0,0,0,0,0,0,0,0,0,0,0,347742810,347742810,347742810,347742810,347742810,347742810,347742810,347742810,347742810,347742810,347742810,347742810,347742810,347742810,347742810,347742810,347742810,347742810,347742810,Spirited Away
0,0,0,0,0,0,0,0,0,0,0,0,0,0,53918847,53918847,53918847,53918847,53918847,53918847,53918847,53918847,53918847,53918847,53918847,53918847,53918847,53918847,53918847,53918847,53918847,53918847,The Cat Returns
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56386031,56386031,56386031,56386031,56386031,56386031,56386031,56386031,56386031,56386031,56386031,56386031,56386031,56386031,56386031,56386031,56386031,Pokémon: Jirachi Wish Maker
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235184110,235184110,235184110,235184110,235184110,235184110,235184110,235184110,235184110,235184110,235184110,235184110,235184110,235184110,235184110,235184110,Howl's Moving Castle
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54882404,54882404,54882404,54882404,54882404,54882404,54882404,54882404,54882404,54882404,54882404,54882404,54882404,54882404,54882404,54882404,Pokémon: Destiny Deoxys
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53879985,53879985,53879985,53879985,53879985,53879985,53879985,53879985,53879985,53879985,53879985,53879985,53879985,53879985,53879985,Pokémon: Lucario and the Mystery of Mew
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68673565,68673565,68673565,68673565,68673565,68673565,68673565,68673565,68673565,68673565,68673565,68673565,68673565,68673565,Tales from Earthsea
